Komoditas(Rp);Beras;Daging Ayam;Daging Sapi;Telur Ayam;Bawang Merah;Bawang Putih;Cabai Merah;Cabai Rawit;Minyak Goreng;Gula Pasir
Jul 2017 (V);10150;32000;120950;22150;25300;41550;21800;31900;13000;14500
Agu 2017 (I);10150;31950;120850;21500;23850;38750;24750;30500;13000;14500
Agu 2017 (II);10250;31600;121600;20800;24800;35750;26050;28750;13150;14500
Agu 2017 (III);10450;31850;123150;20850;26900;33000;27600;28500;13250;14600
Agu 2017 (IV);10450;32500;123700;20500;26750;32300;29450;27050;13300;14550
Sep 2017 (I);10450;31550;122500;20600;26000;31250;31250;25950;13250;14500
Sep 2017 (II);10500;30250;122400;20650;25150;30100;28700;24650;13300;14550
Sep 2017 (III);10550;30600;122300;20500;24150;28550;28350;24100;13350;14550
Sep 2017 (IV);10600;30950;122250;20450;23050;26900;28450;22450;13350;14500
Okt 2017 (I);10650;30550;122250;20250;22950;26000;29900;22650;13350;14450
Okt 2017 (II);10700;30400;122200;20400;22350;24850;31900;22850;13300;14450
Okt 2017 (III);10600;30100;122000;20650;22200;24100;31550;23250;13300;14450
Okt 2017 (IV);10650;30100;121950;20400;22400;24250;29900;23500;13250;14250
Okt 2017 (V);10650;30650;122000;20100;24950;24350;29450;23650;13250;14150
Nov 2017 (I);10650;30700;121900;20050;26250;24250;30150;23950;13300;14100
Nov 2017 (II);10650;31150;121600;20500;26550;24800;34800;25400;13300;14050
Nov 2017 (III);10650;31700;121400;21900;26250;24950;39050;25500;13300;14000
Nov 2017 (IV);10650;31350;121600;23100;25950;24750;40150;25000;13250;13950
Des 2017 (I);10650;31800;121450;23450;25400;24550;41450;25350;13250;13950
Des 2017 (II);10700;32550;121450;24050;24200;24550;38200;24650;13250;13950
Des 2017 (III);10800;34650;121450;25050;23450;24400;37100;27450;13250;13950
Des 2017 (IV);10900;35150;121300;25550;23700;24300;37950;35250;13200;14000
Jan 2018 (I);11000;35150;119750;25500;23050;24500;38400;42000;13200;13900
Jan 2018 (II);11350;35450;119700;24550;22650;24350;39250;42600;13200;13900
Jan 2018 (III);11800;35800;121050;23050;21300;23850;40800;43500;13150;13900
Jan 2018 (IV);12000;34850;120750;22200;19200;22850;37800;42450;13000;13450
Jan 2018 (V);12100;33450;120650;21550;19550;22800;39100;41500;12950;13150
Feb 2018 (I);12000;34650;120200;21300;22100;24900;43000;40550;12900;13100
Feb 2018 (II);12000;33800;120300;22200;24100;31250;44350;42700;12950;13050
Feb 2018 (III);11950;32900;120300;22750;24450;33750;42650;44200;12950;13050
Feb 2018 (IV);11850;32550;120500;22600;25650;34550;39900;44450;12900;13000
Mar 2018 (I);11700;32850;120850;22050;27350;34050;40650;47750;12950;13050
Mar 2018 (II);11650;34400;120850;21450;28400;33950;45950;48300;13000;13100
Mar 2018 (III);11600;34800;121050;21050;29900;35600;46150;45550;12950;13150
Mar 2018 (IV);11550;34400;121050;20950;29900;36500;45300;42900;13000;13200
Apr 2018 (I);11700;34000;121050;20950;30450;36150;45600;42000;12950;13200
Apr 2018 (II);11300;34700;121050;22750;31300;35600;47750;39750;13000;13150
Apr 2018 (III);11300;34650;121000;23400;30500;34900;43200;35450;12950;13150
Apr 2018 (IV);11200;34750;121000;23550;30950;33950;37700;32250;12950;13150
Apr 2018 (V);11200;34800;121000;24150;31050;31600;36500;30950;12950;13150
Mei 2018 (I);11200;36300;121000;25800;31200;29400;35950;30650;12950;13100
